workerid,trial,story,condition,rt,world,activity,Qtype,rating,experiment,eligible
2411,3,10_shampoo,after,22344,ordinary,habitual,non-habitual,74.21,exclamation,True
2411,4,7_train,after,20023,wonky,habitual,non-habitual,70.24,exclamation,True
2411,5,4_subway,after,30474,ordinary,non-habitual,non-habitual,6.74,exclamation,True
2411,6,20_drive,before,21738,ordinary,,non-habitual,3.97,exclamation,True
2411,1,23_library,after,27948,wonky,non-habitual,script,71.56,exclamation,True
2411,2,17_airplane,before,26153,wonky,,script,75.3,exclamation,True
2411,3,10_shampoo,after,22344,ordinary,habitual,script,74.94,exclamation,True
2411,4,7_train,after,20023,wonky,habitual,script,87.83,exclamation,True
2411,5,4_subway,after,30474,ordinary,non-habitual,script,94.21,exclamation,True
2411,6,20_drive,before,21738,ordinary,,script,92.17,exclamation,True
2411,1,23_library,after,27948,wonky,non-habitual,interaction,69.88,exclamation,True
2411,2,17_airplane,before,26153,wonky,,interaction,50.48,exclamation,True
2411,3,10_shampoo,after,22344,ordinary,habitual,interaction,48.67,exclamation,True
2411,4,7_train,after,20023,wonky,habitual,interaction,66.5,exclamation,True
2411,5,4_subway,after,30474,ordinary,non-habitual,interaction,65.9,exclamation,True
2411,6,20_drive,before,21738,ordinary,,interaction,54.58,exclamation,True
2412,1,21_pizza,before,36217,wonky,,habitual,99.19,exclamation,True
2412,2,9_doctor,after,57556,ordinary,habitual,habitual,23.53,exclamation,True
2412,3,16_baking,after,62996,wonky,non-habitual,habitual,48.24,exclamation,True
2412,4,15_pasta,before,40395,ordinary,,habitual,73.84,exclamation,True
2412,5,4_subway,after,34659,ordinary,non-habitual,habitual,99.57,exclamation,True
2412,6,2_restaurant,after,26770,wonky,habitual,habitual,99.95,exclamation,True
2412,1,21_pizza,before,36217,wonky,,non-habitual,49.5,exclamation,True
2412,2,9_doctor,after,57556,ordinary,habitual,non-habitual,25.8,exclamation,True
2412,3,16_baking,after,62996,wonky,non-habitual,non-habitual,26.43,exclamation,True
2412,4,15_pasta,before,40395,ordinary,,non-habitual,9.91,exclamation,True
2412,5,4_subway,after,34659,ordinary,non-habitual,non-habitual,6.5,exclamation,True
2412,6,2_restaurant,after,26770,wonky,habitual,non-habitual,79.01,exclamation,True
2412,1,21_pizza,before,36217,wonky,,script,73.09,exclamation,True
2412,2,9_doctor,after,57556,ordinary,habitual,script,23.28,exclamation,True
2412,3,16_baking,after,62996,wonky,non-habitual,script,48.5,exclamation,True
2412,4,15_pasta,before,40395,ordinary,,script,49.13,exclamation,True
2412,5,4_subway,after,34659,ordinary,non-habitual,script,87.84,exclamation,True
2412,6,2_restaurant,after,26770,wonky,habitual,script,99.69,exclamation,True
2412,1,21_pizza,before,36217,wonky,,interaction,47.99,exclamation,True
2412,2,9_doctor,after,57556,ordinary,habitual,interaction,48.87,exclamation,True
2412,3,16_baking,after,62996,wonky,non-habitual,interaction,75.48,exclamation,True
2412,4,15_pasta,before,40395,ordinary,,interaction,72.96,exclamation,True
2412,5,4_subway,after,34659,ordinary,non-habitual,interaction,61.86,exclamation,True
2412,6,2_restaurant,after,26770,wonky,habitual,interaction,49.76,exclamation,True
2413,1,6_swimming,after,50059,wonky,non-habitual,habitual,74.85,ohyeah,False
2413,2,12_letter,after,58620,ordinary,habitual,habitual,49.4,ohyeah,False
2413,3,22_dishes,after,43878,wonky,habitual,habitual,50.05,ohyeah,False
2413,4,20_drive,before,38311,ordinary,,habitual,99.4,ohyeah,False
2413,5,10_shampoo,after,66558,ordinary,non-habitual,habitual,99.81,ohyeah,False
2413,6,8_work,before,54205,wonky,,habitual,48.92,ohyeah,False
2413,1,6_swimming,after,50059,wonky,non-habitual,non-habitual,75.66,ohyeah,False
2413,2,12_letter,after,58620,ordinary,habitual,non-habitual,49.48,ohyeah,False
2413,3,22_dishes,after,43878,wonky,habitual,non-habitual,78.75,ohyeah,False
2413,4,20_drive,before,38311,ordinary,,non-habitual,99.32,ohyeah,False
2413,5,10_shampoo,after,66558,ordinary,non-habitual,non-habitual,99.89,ohyeah,False
2413,6,8_work,before,54205,wonky,,non-habitual,1.27,ohyeah,False
2413,1,6_swimming,after,50059,wonky,non-habitual,script,100,ohyeah,False
2413,2,12_letter,after,58620,ordinary,habitual,script,99.24,ohyeah,False
2413,3,22_dishes,after,43878,wonky,habitual,script,99.57,ohyeah,False
2413,4,20_drive,before,38311,ordinary,,script,99.24,ohyeah,False
2413,5,10_shampoo,after,66558,ordinary,non-habitual,script,99.48,ohyeah,False
2413,6,8_work,before,54205,wonky,,script,99.81,ohyeah,False
2413,1,6_swimming,after,50059,wonky,non-habitual,interaction,74.93,ohyeah,False
2413,2,12_letter,after,58620,ordinary,habitual,interaction,48.83,ohyeah,False
2413,3,22_dishes,after,43878,wonky,habitual,interaction,80.05,ohyeah,False
2413,4,20_drive,before,38311,ordinary,,interaction,77.45,ohyeah,False
2413,5,10_shampoo,after,66558,ordinary,non-habitual,interaction,99.4,ohyeah,False
2413,6,8_work,before,54205,wonky,,interaction,99.08,ohyeah,False
2414,1,7_train,after,54075,ordinary,habitual,habitual,99.65,exclamation,True
2414,2,14_clothes,after,31530,ordinary,non-habitual,habitual,99.73,exclamation,True
2414,3,23_library,after,27478,wonky,habitual,habitual,98.92,exclamation,True
2414,4,22_dishes,before,26948,wonky,,habitual,49.48,exclamation,True
2414,5,15_pasta,before,58131,ordinary,,habitual,1.11,exclamation,True
2414,6,16_baking,after,29065,wonky,non-habitual,habitual,98.1,exclamation,True
2414,1,7_train,after,54075,ordinary,habitual,non-habitual,45.18,exclamation,True
2414,2,14_clothes,after,31530,ordinary,non-habitual,non-habitual,63.14,exclamation,True
2414,3,23_library,after,27478,wonky,habitual,non-habitual,48.92,exclamation,True
2414,4,22_dishes,before,26948,wonky,,non-habitual,35.18,exclamation,True
2414,5,15_pasta,before,58131,ordinary,,non-habitual,17.45,exclamation,True
2414,6,16_baking,after,29065,wonky,non-habitual,non-habitual,49.16,exclamation,True
2414,1,7_train,after,54075,ordinary,habitual,script,95.18,exclamation,True
2414,2,14_clothes,after,31530,ordinary,non-habitual,script,86.96,exclamation,True
2414,3,23_library,after,27478,wonky,habitual,script,98.75,exclamation,True
2414,4,22_dishes,before,26948,wonky,,script,88.92,exclamation,True
2414,5,15_pasta,before,58131,ordinary,,script,50.95,exclamation,True
2414,6,16_baking,after,29065,wonky,non-habitual,script,49.81,exclamation,True
2414,1,7_train,after,54075,ordinary,habitual,interaction,7.21,exclamation,True
